date_local,CO_mean_ppm,CO_median_ppm,CO_max_ppm,AQI_mean
2020-11-05,0.614789,0.585,1.254167,11.0
2020-11-06,0.46931818181818186,0.495833,0.775,10.636363636363637
2020-11-07,0.176894,0.191667,0.225,2.909090909090909
2020-11-08,0.24772727272727274,0.229167,0.370833,4.090909090909091
2020-11-09,0.29847225,0.291667,0.4,5.166666666666667
2020-11-10,0.415892,0.4125,0.716667,7.0
2020-11-11,0.5482639166666666,0.552083,0.916667,8.666666666666666
2020-11-12,0.60410525,0.583333,1.008333,9.75
2020-11-13,0.6045996666666666,0.5729165,1.05,9.166666666666666
2020-11-14,0.5406335454545454,0.6,0.695833,9.636363636363637
2020-11-15,0.5542945,0.5458335,1.3375,10.583333333333334
2020-11-16,0.4535256923076923,0.475,0.791667,8.923076923076923
2020-11-17,0.6066868461538462,0.579167,1.116667,10.307692307692308
2020-11-18,0.4256410769230769,0.391667,0.720833,7.615384615384615
2020-11-19,0.3923610833333333,0.4,0.583333,6.75
2020-11-20,0.6087212307692307,0.633333,0.908333,9.76923076923077
2020-11-21,0.688140923076923,0.695833,1.245833,11.76923076923077
2020-11-22,0.6782051538461539,0.6375,1.383333,11.307692307692308
2020-11-23,0.5246528333333333,0.5333335,0.754167,9.083333333333334
2020-11-24,0.49622150000000004,0.527083,0.654167,7.916666666666667
2020-11-25,0.6069444166666667,0.6229169999999999,0.979167,9.75
2020-11-26,0.44409725,0.4375,0.741667,8.083333333333334
2020-11-27,0.4468749166666666,0.3833335,1.070833,7.833333333333333
2020-11-28,0.4996528333333334,0.5208335,0.9125,9.083333333333334
2020-11-29,0.5343749999999999,0.5625,1.029167,10.166666666666666
2020-11-30,0.5870783846153846,0.616667,1.341667,9.384615384615385
2020-12-01,0.6372221538461538,0.654167,1.533333,10.615384615384615
2020-12-02,0.7209615384615385,0.604167,1.579167,11.307692307692308
2020-12-03,0.6270831666666666,0.4916665,1.708333,10.916666666666666
2020-12-04,0.5503470833333334,0.5604165,1.283333,10.333333333333334
2020-12-05,0.7843749999999999,0.71875,1.670833,12.666666666666666
2020-12-06,0.7212120909090909,0.679167,1.458333,12.909090909090908
2020-12-07,0.7817981666666666,0.6916665,1.875,12.416666666666666
2020-12-08,0.5031249999999999,0.4020835,1.475,9.166666666666666
2020-12-09,0.5406862499999999,0.5583335,1.154167,9.0
2020-12-10,0.47708336363636367,0.504167,0.654167,7.909090909090909
2020-12-11,0.4542929090909091,0.404167,1.008333,7.454545454545454
2020-12-12,0.5178030909090908,0.491667,1.066667,9.363636363636363
2020-12-13,0.41704536363636363,0.3875,0.758333,8.090909090909092
2020-12-14,0.36034358333333333,0.35625,0.55,6.166666666666667
2020-12-15,0.4309258333333333,0.45416650000000003,0.85,7.166666666666667
2020-12-16,0.5876736666666666,0.577083,1.166667,9.5
2020-12-17,0.6661363636363636,0.629167,1.2875,11.909090909090908
2020-12-18,0.4454861666666667,0.38749999999999996,0.8625,8.0
2020-12-19,0.5399305833333333,0.47291700000000003,1.433333,10.25
2020-12-20,0.5413194166666667,0.5333335,1.125,9.833333333333334
2020-12-21,0.6040148461538462,0.610526,1.3875,10.692307692307692
2020-12-22,0.688141,0.670833,1.15,11.076923076923077
2020-12-23,0.5667361666666667,0.565,0.7875,9.5
2020-12-24,0.371412,0.35625,0.7375,6.833333333333333
2020-12-25,0.37133930769230766,0.320833,0.608333,7.384615384615385
2020-12-26,0.5471151538461538,0.520833,1.370833,9.538461538461538
2020-12-27,0.39070507692307693,0.4,0.466667,6.538461538461538
2020-12-28,0.229514,0.222917,0.3625,3.5
2020-12-29,0.36474361538461536,0.333333,0.616667,7.0
2020-12-30,0.5080128461538461,0.445833,1.354167,8.307692307692308
2020-12-31,0.5696969090909091,0.458333,1.425,10.0
2021-01-01,0.4543858333333333,0.363158,1.510526,9.416666666666666
2021-01-02,0.4965924615384615,0.495833,0.891667,8.76923076923077
2021-01-03,0.48012807692307696,0.445833,0.770833,8.076923076923077
2021-01-04,0.5583333846153846,0.5375,0.858333,8.923076923076923
2021-01-05,0.5458334615384616,0.554167,0.791667,8.846153846153847
2021-01-06,0.7150733333333333,0.6791665,1.383333,11.666666666666666
2021-01-07,0.7126923846153846,0.779167,1.1,10.76923076923077
2021-01-08,0.6868055833333333,0.69375,1.033333,11.583333333333334
2021-01-09,0.5105768461538461,0.3875,1.1125,8.461538461538462
2021-01-10,0.4121794615384615,0.383333,1.0,8.307692307692308
2021-01-11,0.5089743846153847,0.466667,0.958333,7.615384615384615
2021-01-12,0.530128,0.533333,0.975,8.461538461538462
2021-01-13,0.6419871538461539,0.595833,1.329167,10.076923076923077
2021-01-14,0.6354165833333333,0.6354165,1.583333,10.5
2021-01-15,0.6218750833333333,0.51875,1.916667,10.666666666666666
2021-01-16,0.6086805000000001,0.4895835,1.9,10.5
2021-01-17,0.5371526666666667,0.495833,1.433333,10.333333333333334
2021-01-18,0.5378471666666667,0.5583335,0.941667,8.916666666666666
2021-01-19,0.24652774999999996,0.2395835,0.358333,4.416666666666667
2021-01-20,0.2840278333333333,0.24375,0.595833,4.416666666666667
2021-01-21,0.3656249166666667,0.3375,0.65,6.083333333333333
2021-01-22,0.34027783333333333,0.3708335,0.429167,6.25
2021-01-23,0.2587120909090909,0.258333,0.320833,3.909090909090909
2021-01-24,0.33143927272727275,0.320833,0.608333,5.818181818181818
2021-01-25,0.2121212727272727,0.2125,0.3,3.090909090909091
2021-01-26,0.32727290909090906,0.291667,0.533333,5.090909090909091
2021-01-27,0.29869266666666666,0.3150735,0.425,4.583333333333333
2021-01-28,0.3704861666666667,0.3791665,0.516667,6.666666666666667
2021-01-29,0.2538195833333334,0.26666650000000003,0.3625,5.5
2021-01-30,0.42013875,0.44166649999999996,0.65,7.166666666666667
2021-01-31,0.4118055,0.44583300000000003,0.5875,7.25
2021-02-01,0.46319441666666666,0.48125000000000007,0.6625,7.333333333333333
2021-02-02,0.4805555833333333,0.4729165,0.8125,7.5
2021-02-03,0.4652779166666667,0.47291649999999996,0.655556,7.416666666666667
2021-02-04,0.3368055833333334,0.34375,0.4875,5.5
2021-02-05,0.4958253076923077,0.5375,0.695833,7.615384615384615
2021-02-06,0.6182692307692308,0.5875,1.254167,9.846153846153847
2021-02-07,0.5961804166666667,0.6333329999999999,0.808333,10.583333333333334
2021-02-08,0.4270835,0.43333299999999997,0.616667,6.5
2021-02-09,0.28159724999999997,0.26666650000000003,0.479167,3.4166666666666665
2021-02-10,0.35897438461538467,0.354167,0.483333,5.615384615384615
2021-02-11,0.5057693076923078,0.5,0.875,8.076923076923077
2021-02-12,0.2714743076923077,0.25,0.483333,4.384615384615385
2021-02-13,0.33295454545454545,0.325,0.516667,5.636363636363637
2021-02-14,0.239394,0.2,0.454167,2.8181818181818183
2021-02-15,0.36439399999999994,0.35,0.525,5.909090909090909
2021-02-16,0.26962353846153847,0.25,0.4,4.384615384615385
2021-02-17,0.3096154615384616,0.275,0.65,4.3076923076923075
2021-02-18,0.37441553846153847,0.329167,0.775,6.076923076923077
2021-02-19,0.5018731666666666,0.5270835,0.783333,8.0
2021-02-20,0.4614585,0.44166700000000003,0.725,8.75
2021-02-21,0.3621526666666666,0.32916650000000003,0.758333,6.0
2021-02-22,0.42847216666666665,0.46458350000000004,0.833333,6.75
2021-02-23,0.45134375,0.4395835,0.766667,7.0
2021-02-24,0.46718733333333334,0.5197915,0.645833,7.333333333333333
