DATE,TMAX_C,TMIN_C,TAVG_C,PRCP_mm,AWND,WT01,WT02,WT08
2022-04-01,19.444444444444443,11.11111111111111,15.277777777777777,0.0,1.34,0,0,0
2022-04-02,18.333333333333332,12.222222222222221,15.277777777777777,0.0,2.01,0,0,0
2022-04-03,18.333333333333332,12.222222222222221,15.277777777777777,0.0,2.68,0,0,0
2022-04-04,20.555555555555554,12.222222222222221,16.38888888888889,0.0,1.12,0,0,1
2022-04-05,25.555555555555554,12.222222222222221,18.88888888888889,0.0,1.12,0,0,1
2022-04-06,31.11111111111111,13.88888888888889,22.5,0.0,1.12,1,0,1
2022-04-07,35.0,15.555555555555555,25.27777777777778,0.0,0.89,0,0,0
2022-04-08,35.0,17.77777777777778,26.38888888888889,0.0,1.57,0,0,0
2022-04-09,27.22222222222222,16.666666666666668,21.944444444444443,0.0,1.57,0,0,0
2022-04-10,20.555555555555554,15.0,17.77777777777778,0.0,1.34,0,0,1
2022-04-11,18.88888888888889,12.777777777777777,15.833333333333332,0.0,1.57,0,0,1
2022-04-12,20.0,10.555555555555555,15.277777777777777,0.0,6.71,0,0,0
2022-04-13,20.0,11.11111111111111,15.555555555555555,0.0,2.46,0,0,0
2022-04-14,20.0,10.555555555555555,15.277777777777777,0.0,1.57,0,0,0
2022-04-15,21.11111111111111,12.222222222222221,16.666666666666668,0.0,2.24,0,0,1
2022-04-16,19.444444444444443,11.666666666666666,15.555555555555555,0.0,3.13,0,0,0
2022-04-17,19.444444444444443,11.666666666666666,15.555555555555555,0.0,1.12,1,0,0
2022-04-18,23.333333333333332,11.666666666666666,17.5,0.0,1.57,0,0,0
2022-04-19,21.666666666666668,13.88888888888889,17.77777777777778,0.0,1.79,0,0,0
2022-04-20,20.555555555555554,12.777777777777777,16.666666666666668,0.0,2.91,0,0,1
2022-04-21,19.444444444444443,11.666666666666666,15.555555555555555,7.112,4.25,1,0,1
2022-04-22,18.333333333333332,12.222222222222221,15.277777777777777,1.27,3.58,1,0,0
2022-04-23,22.22222222222222,11.666666666666666,16.944444444444443,0.0,2.24,0,0,0
2022-04-24,28.88888888888889,12.777777777777777,20.833333333333332,0.0,1.79,0,0,1
2022-04-25,31.666666666666664,15.0,23.333333333333332,0.0,1.79,0,0,0
